AREA,VARIABLE_NAME,RANGE,EC
15500,Duration_of_the_project,3700,778051640.392816
15800,Foundation_system,Pile,3745568.53449693
15800,Substructure,RCC,2497046.23511897
15800,Superstructure,RCC,2497046.23511897
15800,External_wall,Enamel,70070.9589670302
15800,Internal_wall,Emulsion,2134.182924
15800,Ceiling,Non_asbestos,122944.068
15800,Form_system,Conventional,54641.808
15800,Floor,Marble,163925.424
15800,No_of_parking_spaces,2,112261736.685248
15800,No_of_floors,3,157166429.847195
15800,Escalation,10,78583214.9235977
15800,Changes_range,8,70724892.9271865
15800,Earthwork,1,97029886.7700687
15800,Duration_of_the_project,3800,785832156.796744
16000,Foundation_system,Mat,3783024.2198419
16000,Substructure,RCC,2522016.69747016
16000,Superstructure,RCC,2522016.69747016
16000,External_wall,Emulsion,70771.6685567005
16000,Internal_wall,Enamel,2155.52475324
16000,Ceiling,Non_asbestos,124173.50868
16000,Form_system,Ganged,55188.22608
16000,Floor,Laminates,165564.67824
16000,No_of_parking_spaces,1,113384354.0521
16000,No_of_floors,5,158738094.145667
16000,Escalation,10,79369047.0728337
16000,Changes_range,8,71432141.8564584
16000,Earthwork,1,98000185.6377694
16000,Duration_of_the_project,3800,793690478.364711
16400,Foundation_system,Wall,3820854.46204032
16400,Substructure,RCC,260000
16400,Superstructure,RCC,260000
16400,External_wall,Oil,7296
16400,Internal_wall,Acrylic,2031
16400,Ceiling,Gypsum_Board,117000
16400,Form_system,Ganged,52000
16400,Floor,Vinyl,156000
16400,No_of_parking_spaces,2,114518197.592621
16400,No_of_floors,3,160325475.087124
16400,Escalation,10,80162737.543562
16400,Changes_range,8,72146463.275023
16400,Earthwork,1,98980187.4941471
16400,Duration_of_the_project,3900,801627383.148358
16900,Foundation_system,Mat,3859063.00666072
16900,Substructure,RCC,262600
16900,Superstructure,RCC,262600
16900,External_wall,Emulsion,7368.96
16900,Internal_wall,Enamel,2051.31
16900,Ceiling,Non_asbestos,118170
16900,Form_system,Ganged,52520
16900,Floor,Laminates,157560
16900,No_of_parking_spaces,1,115663379.568547
16900,No_of_floors,2,161928729.837995
16900,Escalation,10,80964364.9189976
16900,Changes_range,8,72867927.9077732
16900,Earthwork,1,99969989.3690886
16900,Duration_of_the_project,4100,809643656.979842
17200,Foundation_system,Mat,3974834.89686054
17200,Substructure,RCC,270478
17200,Superstructure,RCC,270478
17200,External_wall,Emulsion,7590.0288
17200,Internal_wall,Enamel,2112.8493
17200,Ceiling,Non_asbestos,121715.1
17200,Form_system,Ganged,54095.6
17200,Floor,Laminates,162286.8
17200,No_of_parking_spaces,1,116820013.364232
17200,No_of_floors,3,163548017.136375
17200,Escalation,10,81774008.5681876
17200,Changes_range,8,73596607.1868509
17200,Earthwork,1,100969689.262779
17200,Duration_of_the_project,4100,817740093.54964
17500,Foundation_system,Mat,4014583.24582915
17500,Substructure,RCC,273182.78
17500,Superstructure,RCC,273182.78
17500,External_wall,Emulsion,7665.929088
17500,Internal_wall,Enamel,2133.977793
17500,Ceiling,Non_asbestos,122932.251
17500,Form_system,Ganged,54636.556
17500,Floor,Laminates,163909.668
17500,No_of_parking_spaces,2,117988213.497874
17500,No_of_floors,4,165183497.307739
17500,Escalation,10,82591748.6538695
17500,Changes_range,8,74332573.2587194
17500,Earthwork,1,101979386.155407
17500,Duration_of_the_project,4200,825917494.485136
17800,Foundation_system,Pile,4054729.07828744
17800,Substructure,RCC,275914.6078
17800,Superstructure,RCC,275914.6078
17800,External_wall,Enamel,7742.58837888
17800,Internal_wall,Emulsion,2155.31757093
17800,Ceiling,Non_asbestos,124161.57351
17800,Form_system,Conventional,55182.92156
17800,Floor,Laminates,165548.76468
17800,No_of_parking_spaces,2,119168095.632853
17800,No_of_floors,3,166835332.280816
17800,Escalation,10,83417666.1404082
17800,Changes_range,8,75075898.9913066
17800,Earthwork,1,102999180.016961
17800,Duration_of_the_project,4366,834176669.429987
18000,Foundation_system,Wall,4095276.36907031
18000,Substructure,RCC,278673.753878
18000,Superstructure,RCC,278673.753878
18000,External_wall,Oil,7820.0142626688
18000,Internal_wall,Acrylic,2176.8707466393
18000,Ceiling,Gypsum_Board,125403.1892451
18000,Form_system,Ganged,55734.7507756
18000,Floor,Vinyl,167204.2523268
18000,No_of_parking_spaces,2,120359776.589182
18000,No_of_floors,3,168503685.603624
18000,Escalation,10,84251842.8018123
18000,Changes_range,8,75826657.9812197
18000,Earthwork,1,104029171.817131
18000,Duration_of_the_project,4450,842518436.124287
18400,Foundation_system,Mat,4136229.13276101
18400,Substructure,RCC,281460.49141678
18400,Superstructure,RCC,281460.49141678
18400,External_wall,Emulsion,7898.21440529549
18400,Internal_wall,Enamel,2198.63945410569
18400,Ceiling,Non_asbestos,126657.221137551
18400,Form_system,Ganged,56292.098283356
18400,Floor,Laminates,168876.294850068
18400,No_of_parking_spaces,2,121563374.355074
18400,No_of_floors,3,170188722.45966
18400,Escalation,10,85094361.2298304
18400,Changes_range,8,76584924.5610319
18400,Earthwork,1,105069463.535302
18400,Duration_of_the_project,4500,850943620.48553
18800,Foundation_system,Wall,4177591.42408862
18800,Substructure,RCC,284275.096330948
18800,Superstructure,RCC,284275.096330948
18800,External_wall,Oil,7977.19654934844
18800,Internal_wall,Acrylic,2220.62584864675
18800,Ceiling,Gypsum_Board,127923.793348927
18800,Form_system,Ganged,56855.0192661896
18800,Floor,Vinyl,170565.057798569
18800,No_of_parking_spaces,1,122779008.098625
18800,No_of_floors,2,171890609.684257
18800,Escalation,10,85945304.8421287
18800,Changes_range,8,77350773.8066422
18800,Earthwork,1,106120158.170655
18800,Duration_of_the_project,4600,859453056.690385
19200,Foundation_system,Mat,4261143.25257039
19200,Substructure,RCC,289960.598257567
19200,Superstructure,RCC,289960.598257567
19200,External_wall,Emulsion,8136.74048033541
19200,Internal_wall,Enamel,2265.03836561969
19200,Ceiling,Non_asbestos,130482.269215906
19200,Form_system,Ganged,57992.1196515134
19200,Floor,Laminates,173976.35895454
19200,No_of_parking_spaces,1,125234588.260598
19200,No_of_floors,5,175328421.877942
19200,Escalation,10,87664210.9389713
19200,Changes_range,8,78897789.282775
19200,Earthwork,1,108242561.334068
19200,Duration_of_the_project,4800,876642117.824193
20000,Foundation_system,Mat,4346366.1176218
20000,Substructure,RCC,295759.810222718
20000,Superstructure,RCC,295759.810222718
20000,External_wall,Emulsion,8299.47528994212
20000,Internal_wall,Enamel,2310.33913293208
20000,Ceiling,Non_asbestos,133091.914600224
20000,Form_system,Ganged,59151.9620445437
20000,Floor,Laminates,177455.886133631
20000,No_of_parking_spaces,1,127739280.02581
20000,No_of_floors,6,178834990.315501
20000,Escalation,10,89417495.1577507
20000,Changes_range,8,80475745.0684305
20000,Earthwork,1,110407412.560749
20000,Duration_of_the_project,5000,894174960.180677
22000,Foundation_system,Wall,4520220.76232667
22000,Substructure,RCC,307590.202631627
22000,Superstructure,RCC,307590.202631627
22000,External_wall,Oil,8631.45430153981
22000,Internal_wall,Acrylic,2402.75269824936
22000,Ceiling,Gypsum_Board,138415.591184233
22000,Form_system,Ganged,61518.0405263255
22000,Floor,Vinyl,184554.121578976
22000,No_of_parking_spaces,2,132848851.226842
22000,No_of_floors,5,185988389.928121
22000,Escalation,10,92994194.9640607
22000,Changes_range,8,83694774.8711677
22000,Earthwork,1,114823709.063179
22000,Duration_of_the_project,5500,929941958.587904
